Date,TotalChanges
2021/04/22,34
2021/04/22,36
2021/04/22,36
2021/04/22,102
2021/04/22,184
2021/04/22,1712
2021/04/22,1372
2021/04/22,96
2021/04/22,4
2021/04/22,4
2021/04/22,100
2021/04/22,24
2021/04/22,8
2021/04/22,32
2021/04/22,10
2021/04/22,64
2021/04/22,100
2021/04/21,8
2021/04/21,16
2021/04/21,8
2021/04/21,42
2021/04/21,1502
2021/04/21,380
2021/04/21,116
2021/04/20,90
2021/04/20,18
2021/04/20,72
2021/04/20,148
2021/04/19,206
2021/04/19,206
2021/04/19,2
2021/04/19,8
2021/04/17,314
2021/04/17,156
2021/04/16,8
2021/04/12,216
2021/04/09,168
2021/04/08,390
2021/04/08,346
2021/04/02,138
2021/03/28,236
2021/03/26,60
2021/03/26,274
2021/03/26,274
2021/03/23,4
2021/03/23,34
2021/03/23,66
2021/03/23,42
2021/03/19,66
2021/03/19,146
2021/03/17,24
2021/03/17,16
2021/03/16,20
2021/03/12,58
2021/03/12,8
2021/03/12,212
2021/03/12,28
2021/03/12,58
2021/03/12,72
2021/03/12,172
2021/03/12,142
2021/03/10,18
2021/03/09,18
2021/03/09,8
2021/03/09,12
2021/03/09,4
2021/03/09,246
2021/03/09,84
2021/03/09,4
2021/03/09,36
2021/03/08,100
2021/03/08,4
2021/03/08,8
2021/03/08,12
2021/03/08,322
2021/03/08,124
2021/03/08,202
2021/03/04,120
2021/03/04,10
2021/03/04,138
2021/03/04,136
2021/03/04,138
2021/03/04,52
2021/03/04,126
2021/03/04,8
2021/03/04,26
2021/03/04,20
2021/03/04,22
2021/03/04,96
2021/03/04,3936
2021/03/04,4
2021/03/04,5674
2021/03/01,4
2021/03/01,2
2021/03/01,672
2021/02/25,2190
2021/02/22,16
2021/02/21,32
2021/02/21,226
2021/02/20,8790
2021/02/20,4
