Date,TotalChanges
2021/12/18,20
2021/12/18,146
2021/12/18,12
2021/12/18,6
2021/12/18,170
2021/12/18,274
2021/12/18,58
2021/12/18,4
2021/12/18,80
2021/12/18,198
2021/12/18,142
2021/12/12,4
2021/12/12,4
2021/12/12,4
2021/12/12,4
2021/12/11,144
2021/12/08,8
2021/12/08,394
2021/12/08,166
2021/12/08,8
2021/12/08,12
2021/12/08,164
2021/12/08,36
2021/12/08,38
2021/12/08,4
2021/12/08,16
2021/12/08,24
2021/12/08,14
2021/12/08,10
2021/12/08,16
2021/12/08,20
2021/12/08,858
2021/12/07,744
2021/12/07,256
2021/12/07,650
2021/12/07,14
2021/12/07,12
2021/12/07,188
2021/12/07,292
2021/12/07,2356
2021/12/07,134
2021/12/07,624
2021/12/07,568
2021/12/07,22
2021/12/07,76
2021/12/07,12
2021/12/07,128
2021/12/07,40
2021/12/07,18
2021/12/07,8
2021/12/07,50
2021/11/22,126
2021/11/22,40
2021/11/22,32
2021/11/22,40
2021/11/22,2
2021/11/22,2
